899,450,0048,1
900,450,0412,0
901,451,0880,1
902,451,0801,0
903,452,0226,0
904,452,0784,1
905,453,0127,0
906,453,0805,1
907,454,0236,0
908,454,0587,1
909,455,0195,1
910,455,0458,0
911,456,0869,1
912,456,0672,0
913,457,0364,0
914,457,0877,1
915,458,0116,1
916,458,0283,0
917,459,0109,1
918,459,0041,0
919,460,0196,1
920,460,0255,0
921,461,0168,1
922,461,0052,0
923,462,0354,0
924,462,0059,1
925,463,0389,1
926,463,0653,0
927,464,0294,1
928,464,0857,0
929,465,0558,0
930,465,0409,1
931,466,0065,0
932,466,0346,1
933,467,0285,0
934,467,0216,1
935,468,0362,1
936,468,0374,0
937,469,0613,0
938,469,0114,1
939,470,0521,0
940,470,0564,1
941,471,0863,1
942,471,0413,0
943,472,0491,1
944,472,0858,0
945,473,0201,1
946,473,0131,0
947,474,0806,1
948,474,0600,0
949,475,0759,0
950,475,0297,1
951,476,0395,1
952,476,0803,0
953,477,0427,0
954,477,0173,1
955,478,0043,1
956,478,0329,0
957,479,0107,1
958,479,0897,0
959,480,0823,1
960,480,0658,0
961,481,0860,1
962,481,0840,0
963,482,0495,1
964,482,0309,0
965,483,0089,1
966,483,0273,0
967,484,0689,1
968,484,0820,0
969,485,0749,0
970,485,0711,1
971,486,0282,0
972,486,0304,1
973,487,0335,1
974,487,0542,0
975,488,0336,0
976,488,0152,1
977,489,0218,0
978,489,0791,1
979,490,0154,0
980,490,0760,1
981,491,0240,0
982,491,0327,1
983,492,0706,1
984,492,0746,0
985,493,0030,0
986,493,0186,1
987,494,0888,0
988,494,0330,1
989,495,0554,1
990,495,0673,0
991,496,0105,1
992,496,0466,0
993,497,0477,0
994,497,0787,1
995,498,0726,0
996,498,0073,1
997,499,0708,1
998,499,0778,0
999,500,0378,1
1000,500,0676,0
1001,501,0570,0
1002,501,0122,1
1003,502,0497,0
1004,502,0870,1
1005,503,0134,1
1006,503,0295,0
1007,504,0049,1
1008,504,0782,0
1009,505,0171,0
1010,505,0861,1
1011,506,0817,1
1012,506,0227,0
1013,507,0341,0
1014,507,0037,1
1015,508,0184,0
1016,508,0351,1
1017,509,0401,0
1018,509,0859,1
1019,510,0699,0
1020,510,0149,1
1021,511,0145,1
1022,511,0038,0
1023,512,0120,1
1024,512,0221,0
1025,513,0557,0
1026,513,0443,1
1027,514,0172,1
1028,514,0112,0
1029,515,0326,0
1030,515,0744,1
1031,516,0561,0
1032,516,0328,1
1033,517,0249,1
1034,517,0259,0
1035,518,0854,1
1036,518,0023,0
1037,519,0039,1
1038,519,0015,0
1039,520,0771,0
1040,520,0151,1
1041,521,0298,1
1042,521,0792,0
1043,522,0475,1
1044,522,0239,0
1045,523,0359,1
1046,523,0490,0
1047,524,0251,1
1048,524,0098,0
1049,525,0483,1
1050,525,0418,0
1051,526,0816,0
1052,526,0292,1
1053,527,0473,0
1054,527,0718,1
1055,528,0158,1
1056,528,0866,0
1057,529,0441,0
1058,529,0696,1
1059,530,0669,0
1060,530,0223,1
1061,531,0567,1
1062,531,0847,0
1063,532,0459,0
